Second,Avg_distance_per_sec,std_dev_per_second
1,84.766047619,1.19785352959
2,84.6981056911,1.07683567108
3,84.471768595,1.08113238289
4,86.7559894737,10.8866297634
5,93.4878780488,21.6415403575
6,98.622,24.1201314374
7,96.5258450704,25.5751006498
8,52.0253589744,10.3724682368
9,52.4092941176,8.51618745715
10,54.5476666667,6.6997525896
11,52.1872340426,3.97534292867
12,51.6060232558,4.12031958127
13,50.4006938776,3.66255624077
14,48.7080357143,3.9953645871
15,51.1260357143,4.90302081096
16,55.4926764706,3.90436583205
17,54.6273953488,4.77477713254
18,50.0457931034,5.76316927539
19,74.0823924051,21.0225515709
20,88.3764123711,8.6153650251
21,91.0656952381,5.64224936754
22,91.0643043478,3.81771767994
23,90.8321827957,2.9199927894
24,88.2554807692,9.37811826413
25,75.2742777778,14.8421264045
26,65.395954023,7.55021894478
27,63.3972093023,0.714334465981
28,63.505699187,0.970960247493
29,62.9249016393,5.78327229772
30,62.853792,6.19082447776
31,63.4867903226,2.52519231908
32,63.7464032258,1.01135640963
33,63.1594303797,6.66265173144
34,57.226654321,8.33285474816
35,56.8563448276,7.78724469562
36,56.8376341463,10.6563748333
37,61.3974736842,15.7771420557
38,61.093,18.6857122958
39,57.7013174603,6.31115170928
40,60.7561322314,4.55362808821
41,63.1048050847,3.83289830142
42,60.4238305085,9.60824315125
43,59.66515,14.0220128983
44,61.9544482759,8.79888519466
45,61.8973076923,4.13068921873
46,62.0168362069,2.65274799585
47,61.8687964602,3.3282143168
48,61.9530336134,3.27133541107
49,62.2937213115,0.937184047143
50,62.7880128205,7.67429851694
51,59.9791428571,10.6602586333
